ano,mes,municipio,uf_x,areakm,valor,vazao,uf_y,estado,pressao_nivel_estacao_mb,pressao_max_ant_mb,pressao_min_ant_mb,radiacao_global_kj_m2,temperatura_bulbo_seco_c,temperatura_orvalho_c,temperatura_max_ant_c,temperatura_min_ant_c,orvalho_max_ant_c,orvalho_min_ant_c,umidade_max_ant_pct,umidade_min_ant_pct,umidade_ar_pct,vento_direcao_graus,vento_rajada_max_ms,vento_velocidade_ms,chuva_final
1991,1,boca do acre,,,,5231.046451612903,AM,,,,,,,,,,,,,,,,,,
1991,1,bom jesus das selvas,MA,27.71891452343747,27.71891452343747,,,,,,,,,,,,,,,,,,,,10.141935483870967
1991,1,bom jesus das selvas,MA,27.71891452343747,27.71891452343747,,,,,,,,,,,,,,,,,,,,5.180645161290323
1991,1,bonfim,RR,13.13162943798826,13.13162943798826,5.1296322580645155,RR,,,,,,,,,,,,,,,,,,0.264516129032258
1991,1,bonfim,RR,13.13162943798826,13.13162943798826,5.1296322580645155,RR,,,,,,,,,,,,,,,,,,0.0
1991,1,borba,,,,,AM,,,,,,,,,,,,,,,,,,
1991,1,braganca,,,,,PA,,,,,,,,,,,,,,,,,,
1991,1,brasileia,,,,302.8809677419355,AC,,,,,,,,,,,,,,,,,,
1991,1,brasnorte,,,,644.9276903225806,MT,,,,,,,,,,,,,,,,,,
1991,1,buriti bravo,MA,4.515121645141597,4.515121645141597,1.758725806451613,MA,,,,,,,,,,,,,,,,,,4.235483870967742
1991,1,buritirana,MA,8.904801999206539,8.904801999206539,,,,,,,,,,,,,,,,,,,,8.823333333333332
1991,1,cabixi,,,,,RO,,,,,,,,,,,,,,,,,,
1991,1,caceres,,,,,MT,,,,,,,,,,,,,,,,,,
1991,1,caceres,,,,828.2161741935485,MT,,,,,,,,,,,,,,,,,,
1991,1,caceres,,,,769.160593548387,MT,,,,,,,,,,,,,,,,,,
1991,1,cacoal,RO,53.45824499700926,53.45824499700926,,,,,,,,,,,,,,,,,,,,49.877419354838715
1991,1,cajari,MA,0.38910646752929706,0.38910646752929706,,,,,,,,,,,,,,,,,,,,9.961290322580645
1991,1,calcoene,AP,3.2742810056152347,3.2742810056152347,,,,,,,,,,,,,,,,,,,,34.377419354838715
1991,1,candeias do jamari,,,,332.0787677419355,RO,,,,,,,,,,,,,,,,,,
1991,1,candido mendes,MA,47.03094113903675,47.03094113903675,94.37612903225806,MA,,,,,,,,,,,,,,,,,,13.003225806451614
1991,1,candido mendes,MA,47.03094113903675,47.03094113903675,94.37612903225806,MA,,,,,,,,,,,,,,,,,,17.016129032258064
1991,1,cantanhede,MA,1.61756093371582,1.61756093371582,144.03931612903224,MA,,,,,,,,,,,,,,,,,,14.137096774193548
1991,1,capitao poco,,,,69.1053935483871,PA,,,,,,,,,,,,,,,,,,
1991,1,caracarai,RR,13.466789241760216,13.466789241760216,2018.2802741935486,RR,,,,,,,,,,,,,,,,,,2.761290322580645
1991,1,caracarai,RR,13.466789241760216,13.466789241760216,2018.2802741935486,RR,,,,,,,,,,,,,,,,,,
1991,1,carauari,,,,6742.762258064517,AM,,,,,,,,,,,,,,,,,,
