dia,mes,ano,municipio,uf_x,areakm,uf_y,vazao,pressao_nivel_estacao_mb,pressao_max_ant_mb,pressao_min_ant_mb,radiacao_global_kj_m2,temperatura_bulbo_seco_c,temperatura_orvalho_c,temperatura_max_ant_c,temperatura_min_ant_c,orvalho_max_ant_c,orvalho_min_ant_c,umidade_max_ant_pct,umidade_min_ant_pct,umidade_ar_pct,vento_direcao_graus,vento_rajada_max_ms,vento_velocidade_ms,chuva_final
7,3,1991,rio branco,,20.343714764224202,AC,1041.17,,,,,,,,,,,,,,,,,
8,3,1991,rio branco,,20.343714764224202,AC,1067.89,,,,,,,,,,,,,,,,,
9,3,1991,rio branco,,20.343714764224202,AC,1085.32,,,,,,,,,,,,,,,,,
10,3,1991,rio branco,,20.343714764224202,AC,1096.47,,,,,,,,,,,,,,,,,
11,3,1991,rio branco,,20.343714764224202,AC,1099.66,,,,,,,,,,,,,,,,,
12,3,1991,rio branco,,20.343714764224202,AC,1082.14,,,,,,,,,,,,,,,,,
13,3,1991,rio branco,,20.343714764224202,AC,1016.26,,,,,,,,,,,,,,,,,
14,3,1991,rio branco,,20.343714764224202,AC,974.74,,,,,,,,,,,,,,,,,
15,3,1991,rio branco,,20.343714764224202,AC,965.61,,,,,,,,,,,,,,,,,
16,3,1991,rio branco,,20.343714764224202,AC,990.04,,,,,,,,,,,,,,,,,
17,3,1991,rio branco,,20.343714764224202,AC,1017.81,,,,,,,,,,,,,,,,,
18,3,1991,rio branco,,20.343714764224202,AC,996.19,,,,,,,,,,,,,,,,,
19,3,1991,rio branco,,20.343714764224202,AC,956.51,,,,,,,,,,,,,,,,,
20,3,1991,rio branco,,20.343714764224202,AC,927.9,,,,,,,,,,,,,,,,,
21,3,1991,rio branco,,20.343714764224202,AC,985.44,,,,,,,,,,,,,,,,,
22,3,1991,rio branco,,20.343714764224202,AC,1049.01,,,,,,,,,,,,,,,,,
23,3,1991,rio branco,,20.343714764224202,AC,1058.43,,,,,,,,,,,,,,,,,
24,3,1991,rio branco,,20.343714764224202,AC,991.58,,,,,,,,,,,,,,,,,
25,3,1991,rio branco,,20.343714764224202,AC,893.71,,,,,,,,,,,,,,,,,
26,3,1991,rio branco,,20.343714764224202,AC,848.41,,,,,,,,,,,,,,,,,
27,3,1991,rio branco,,20.343714764224202,AC,845.51,,,,,,,,,,,,,,,,,
28,3,1991,rio branco,,20.343714764224202,AC,841.18,,,,,,,,,,,,,,,,,
29,3,1991,rio branco,,20.343714764224202,AC,802.59,,,,,,,,,,,,,,,,,
30,3,1991,rio branco,,20.343714764224202,AC,737.07,,,,,,,,,,,,,,,,,
31,3,1991,rio branco,,20.343714764224202,AC,675.02,,,,,,,,,,,,,,,,,
1,4,1991,rio branco,,20.343714764224202,AC,601.05,,,,,,,,,,,,,,,,,
