ano,mes,estacao,chuva,codigo_estacao,municipio,uf,areakm,estado,precipitacao_total_mm,pressao_nivel_estacao_mb,pressao_max_ant_mb,pressao_min_ant_mb,radiacao_global_kj_m2,temperatura_bulbo_seco_c,temperatura_orvalho_c,temperatura_max_ant_c,temperatura_min_ant_c,orvalho_max_ant_c,orvalho_min_ant_c,umidade_max_ant_pct,umidade_min_ant_pct,umidade_ar_pct,vento_direcao_graus,vento_rajada_max_ms,vento_velocidade_ms
1991,7,771001,2.2580645161290325,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1991,7,872000,0.9161290322580645,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1991,7,972000,3.0903225806451613,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1991,7,1068000,0.0,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1991,7,8050000,2.9,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1991,7,8051010,4.767741935483872,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1991,7,8052000,7.354838709677419,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1991,7,8150000,5.611290322580645,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1991,7,8251001,28.015000000000004,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1991,8,51002,,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
1991,8,771001,0.9032258064516129,771001,tarauaca,AC,,,,,,,,,,,,,,,,,,,
1991,8,872000,2.3451612903225807,872000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1991,8,972000,1.5225806451612904,972000,marechal thaumaturgo,AC,,,,,,,,,,,,,,,,,,,
1991,8,1068000,1.2774193548387098,1068000,xapuri,AC,,,,,,,,,,,,,,,,,,,
1991,8,8050000,5.687096774193549,8050000,macapa,AP,,,,,,,,,,,,,,,,,,,
1991,8,8051010,1.967741935483871,8051010,macapa,AP,,,,,,,,,,,,,,,,,,,
1991,8,8052000,3.832258064516129,8052000,serra do navio,AP,,,,,,,,,,,,,,,,,,,
1991,8,8150000,1.6419354838709677,8150000,tartarugalzinho,AP,,,,,,,,,,,,,,,,,,,
1991,8,8251001,18.083870967741937,8251001,calcoene,AP,,,,,,,,,,,,,,,,,,,
1991,9,51002,,51002,mazagao,AP,,,,,,,,,,,,,,,,,,,
