ano,mes,municipio,uf,chuva_final,vazao,areakm,pressao_nivel_estacao_mb,pressao_max_ant_mb,pressao_min_ant_mb,radiacao_global_kj_m2,temperatura_bulbo_seco_c,temperatura_orvalho_c,temperatura_max_ant_c,temperatura_min_ant_c,orvalho_max_ant_c,orvalho_min_ant_c,umidade_max_ant_pct,umidade_min_ant_pct,umidade_ar_pct,vento_direcao_graus,vento_rajada_max_ms,vento_velocidade_ms
1991,1,acailandia,MA,9.812903225806451,15.369367741935484,121.90560438006564,,,,,,,,,,,,,,,,
1991,1,aldeias altas,MA,4.646774193548388,81.34932835690368,2.381493144836426,,,,,,,,,,,,,,,,
1991,1,alenquer,PA,0.1912935925349148,40.13422903225806,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,alta floresta,MT,0.18623560124972066,1278.7221257885305,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,altamira,PA,0.10781643717070928,723.4607548387097,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,alto alegre,RR,0.5193548387096774,880.3837290322581,25.62373292529294,,,,,,,,,,,,,,,,
1991,1,alto parnaiba,MA,9.625806451612902,176.84113870967744,6.317795335021985,,,,,,,,,,,,,,,,
1991,1,amajari,RR,0.9774193548387098,995.7362602139664,8.113669054016107,,,,,,,,,,,,,,,,
1991,1,apui,AM,0.30322674901198343,920.9435344086022,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,araguaiana,MT,0.2930032872995485,1439.365148387097,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,arame,MA,11.21290322580645,81.34932835690368,58.52749764300584,,,,,,,,,,,,,,,,
1991,1,ariquemes,RO,11.64032258064516,355.17935161290325,88.86408365081759,,,,,,,,,,,,,,,,
1991,1,assis brasil,AC,1.5664955197132617,164.98161290322582,2.893949749259665,,,,,,,,,,,,,,,,
1991,1,atalaia do norte,AM,0.2842361794148063,2196.9477419354835,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,bacabal,MA,3.895666922683052,74.0741935483871,19.225715301208485,,,,,,,,,,,,,,,,
1991,1,balsas,MA,9.781720430107526,171.5754258064516,42.86348861041262,,,,,,,,,,,,,,,,
1991,1,barao de grajau,MA,8.158064516129032,963.5107451612904,3.223155543151849,,,,,,,,,,,,,,,,
1991,1,barao de melgaco,MT,0.2930032872995485,403.6642096774194,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,barcelos,AM,0.40121615777064956,191.18407096774192,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,barra do bugres,MT,0.2930032872995485,513.8569580645161,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,barra do corda,MA,5.366666666666667,53.904052688172044,47.762497762634354,,,,,,,,,,,,,,,,
1991,1,barra do garcas,MT,0.2930032872995485,503.60179677419353,20.26689277422903,,,,,,,,,,,,,,,,
1991,1,bela vista do maranhao,MA,11.483870967741936,21.85245,3.770923107971176,,,,,,,,,,,,,,,,
