Município,Correlação de Spearman
fortaleza dos nogueiras,0.07169342268226712
loreto,0.06943955415479913
sao miguel do guapore,0.06851406553191175
arame,0.06824333699433538
parecis,0.06820893889604417
coari,0.06742168883059792
novo aripuana,0.0654508757393119
theobroma,0.06451664919781694
japura,0.06106962836498027
ministro andreazza,0.057607793240127984
riachao,0.057015921969814136
peritoro,0.056590188673197137
governador newton bello,0.054683499918524156
atalaia do norte,0.05389441879555535
careiro da varzea,0.05103908257219573
passagem franca,0.04736001706995091
brasnorte,0.04705854011764933
nobres,0.045150986253580036
itamarati,0.044191256363253675
cerejeiras,0.04220049333224343
sitio novo,0.03933737250983166
porto franco,0.03733780660252943
chupinguaia,0.03654395202633377
canta,0.0363052100539092
colorado do oeste,0.03318194404541102
itacaja,0.03274382754338748
rolim de moura,0.03167908503063832
pauini,0.03070280135142218
candeias do jamari,0.026734472935943845
bujari,0.019553285178161538
tupiratins,0.019155427664015717
piraque,0.01794573997977423
bom jardim,0.008931021303811064
imperatriz,0.00643765516725365
carauari,0.004733563071464252
pocone,0.00325147775298395
mirante da serra,0.002257544396986038
porto dos gauchos,-0.006201668210219232
buritirana,-0.008471693520301714
vitorino freire,-0.010211254402939027
cumaru do norte,-0.014486746615120621
oriximina,-0.021190670166158145
sao bento do tocantins,-0.03303576766612454
senador guiomard,-0.034099177350157134
goiatins,-0.0376307602997931
pau d'arco,-0.047305735220324586
parauapebas,-0.04935296102312813
manicore,-0.07478168157357351
eirunepe,-0.1001422213684823
macapa,-0.12267067074826266
agua azul do norte,-0.12595775164600262
beruri,-0.13325006917146134
guaranta do norte,-0.16119221666641814
rio maria,-0.20339787749887306
caseara,-0.37697032410893994
nhamunda,-0.43664193803510554
