algoritmo,n_estimators,cv_folds,variaveis,normalizacao,mse_treino,mae_treino,r2_treino,mse_teste,mae_teste,r2_teste,r2_cv_medio
RandomForestRegressor,50,3,SelectKBest,StandardScaler,47588607.98062724,5202.413576820304,0.9715614503805553,300630550.3022225,12734.740424594267,0.8152848470939045,0.8198685111491298
RandomForestRegressor,50,3,RFE,StandardScaler,354205488.8328024,13405.210484241978,0.7883297957832269,1202996757.5976512,27894.87334626595,0.2608478087080677,0.2889005115921118
RandomForestRegressor,100,3,SelectKBest,StandardScaler,45982921.33215204,5162.425245744463,0.9725209951406065,300715559.506567,12743.637951107263,0.8152326152493261,0.8206876683795251
RandomForestRegressor,100,3,RFE,StandardScaler,348600972.28835785,13321.098522863364,0.7916790074665582,1192107972.0729768,27777.242694949273,0.2675381589772934,0.2952400681784067
