ano,mes,dia,municipio,uf,chuva_final,vazao,areakm
1991,1,1,rio branco,AC,0.12590909090909091,527.98,0.055736204833490954
1991,1,2,rio branco,AC,0.12590909090909091,603.59,0.055736204833490954
1991,1,3,rio branco,AC,0.12590909090909091,716.61,0.055736204833490954
1991,1,4,rio branco,AC,0.12590909090909091,874.6,0.055736204833490954
1991,1,5,rio branco,AC,0.12590909090909091,852.75,0.055736204833490954
1991,1,6,rio branco,AC,0.12590909090909091,818.23,0.055736204833490954
1991,1,7,rio branco,AC,0.12590909090909091,805.42,0.055736204833490954
1991,1,8,rio branco,AC,0.12590909090909091,770.26,0.055736204833490954
1991,1,9,rio branco,AC,0.12590909090909091,707.13,0.055736204833490954
1991,1,10,rio branco,AC,0.12590909090909091,679.0,0.055736204833490954
1991,1,11,rio branco,AC,0.12590909090909091,804.01,0.055736204833490954
1991,1,12,rio branco,AC,0.12590909090909091,938.4,0.055736204833490954
1991,1,13,rio branco,AC,0.12590909090909091,917.44,0.055736204833490954
1991,1,14,rio branco,AC,0.12590909090909091,895.18,0.055736204833490954
1991,1,15,rio branco,AC,0.12590909090909091,835.42,0.055736204833490954
1991,1,16,rio branco,AC,0.12590909090909091,961.05,0.055736204833490954
1991,1,17,rio branco,AC,0.12590909090909091,1197.06,0.055736204833490954
1991,1,18,rio branco,AC,0.12590909090909091,1392.95,0.055736204833490954
1991,1,19,rio branco,AC,0.12590909090909091,1564.93,0.055736204833490954
1991,1,20,rio branco,AC,0.12590909090909091,1646.7,0.055736204833490954
1991,1,21,rio branco,AC,0.12590909090909091,1695.59,0.055736204833490954
1991,1,22,rio branco,AC,0.12590909090909091,1735.13,0.055736204833490954
1991,1,23,rio branco,AC,0.12590909090909091,1762.53,0.055736204833490954
1991,1,24,rio branco,AC,0.12590909090909091,1787.6,0.055736204833490954
1991,1,25,rio branco,AC,0.12590909090909091,1812.8,0.055736204833490954
1991,1,26,rio branco,AC,0.12590909090909091,1807.75,0.055736204833490954
1991,1,27,rio branco,AC,0.12590909090909091,1725.21,0.055736204833490954
1991,1,28,rio branco,AC,0.12590909090909091,1572.08,0.055736204833490954
1991,1,29,rio branco,AC,0.12590909090909091,1404.31,0.055736204833490954
1991,1,30,rio branco,AC,0.12590909090909091,1259.61,0.055736204833490954
1991,1,31,rio branco,AC,0.12590909090909091,1175.69,0.055736204833490954
1991,2,1,rio branco,AC,0.12590909090909091,1122.1,0.055736204833490954
1991,2,2,rio branco,AC,0.12590909090909091,1014.71,0.055736204833490954
1991,2,3,rio branco,AC,0.12590909090909091,911.48,0.055736204833490954
1991,2,4,rio branco,AC,0.12590909090909091,818.23,0.055736204833490954
1991,2,5,rio branco,AC,0.12590909090909091,731.59,0.055736204833490954
1991,2,6,rio branco,AC,0.12590909090909091,699.05,0.055736204833490954
1991,2,7,rio branco,AC,0.12590909090909091,870.21,0.055736204833490954
1991,2,8,rio branco,AC,0.12590909090909091,1003.89,0.055736204833490954
1991,2,9,rio branco,AC,0.12590909090909091,968.65,0.055736204833490954
1991,2,10,rio branco,AC,0.12590909090909091,877.53,0.055736204833490954
1991,2,11,rio branco,AC,0.12590909090909091,833.98,0.055736204833490954
1991,2,12,rio branco,AC,0.12590909090909091,833.98,0.055736204833490954
1991,2,13,rio branco,AC,0.12590909090909091,958.02,0.055736204833490954
1991,2,14,rio branco,AC,0.12590909090909091,1074.22,0.055736204833490954
1991,2,15,rio branco,AC,0.12590909090909091,1109.26,0.055736204833490954
1991,2,16,rio branco,AC,0.12590909090909091,1071.05,0.055736204833490954
1991,2,17,rio branco,AC,0.12590909090909091,1002.35,0.055736204833490954
1991,2,18,rio branco,AC,0.12590909090909091,936.89,0.055736204833490954
1991,2,19,rio branco,AC,0.12590909090909091,890.76,0.055736204833490954
1991,2,20,rio branco,AC,0.12590909090909091,899.62,0.055736204833490954
1991,2,21,rio branco,AC,0.12590909090909091,967.13,0.055736204833490954
1991,2,22,rio branco,AC,0.12590909090909091,1010.07,0.055736204833490954
1991,2,23,rio branco,AC,0.12590909090909091,1042.74,0.055736204833490954
1991,2,24,rio branco,AC,0.12590909090909091,1143.1,0.055736204833490954
1991,2,25,rio branco,AC,0.12590909090909091,1250.92,0.055736204833490954
1991,2,26,rio branco,AC,0.12590909090909091,1316.71,0.055736204833490954
1991,2,27,rio branco,AC,0.12590909090909091,1334.49,0.055736204833490954
1991,2,28,rio branco,AC,0.12590909090909091,1233.61,0.055736204833490954
1991,3,1,rio branco,AC,0.12590909090909091,1114.07,0.055736204833490954
1991,3,2,rio branco,AC,0.12590909090909091,980.85,0.055736204833490954
1991,3,3,rio branco,AC,0.12590909090909091,920.42,0.055736204833490954
1991,3,4,rio branco,AC,0.12590909090909091,883.4,0.055736204833490954
1991,3,5,rio branco,AC,0.12590909090909091,880.46,0.055736204833490954
1991,3,6,rio branco,AC,0.12590909090909091,996.19,0.055736204833490954
1991,3,7,rio branco,AC,0.12590909090909091,1041.17,0.055736204833490954
1991,3,8,rio branco,AC,0.12590909090909091,1067.89,0.055736204833490954
1991,3,9,rio branco,AC,0.12590909090909091,1085.32,0.055736204833490954
1991,3,10,rio branco,AC,0.12590909090909091,1096.47,0.055736204833490954
1991,3,11,rio branco,AC,0.12590909090909091,1099.66,0.055736204833490954
1991,3,12,rio branco,AC,0.12590909090909091,1082.14,0.055736204833490954
1991,3,13,rio branco,AC,0.12590909090909091,1016.26,0.055736204833490954
1991,3,14,rio branco,AC,0.12590909090909091,974.74,0.055736204833490954
