index,state_abbrev,state,municipality,geocode,period,refor,secveg,pasture,crop,urban,core,edge,port,river,road,mining,fire,dgorg,dgfor,defor,deorg,precp,precn,tempp
59,AM,"""Amazonas""","""Pauini""","""1303502""",2006,"""0.995079810454819""",0.002555835612722,0.001028550760675,0.0,5.9513916891e-05,0.954423050839795,"""28.0572960963625""","""NA""","""NA""",0.143099792728074,0.0,0.000756801546748,"""NA""","""NA""","""0.001166368987309""","""0.001162274677205""",0.150421490959506,0.0,0.122028070929478
60,AM,"""Amazonas""","""Codajás""","""1301308""",2006,"""0.984646795163584""",0.011558158888676,0.000128032776391,0.0,0.000166037808608,0.816999551885283,"""55.8318157553805""","""NA""","""NA""",0.191029883656667,0.0,0.003453712741197,"""NA""","""NA""","""0.001179173973514""","""0.001162603516428""",0.056791271614698,0.0,0.088053450229202
61,AM,"""Amazonas""","""Beruri""","""1300631""",2006,"""0.986250793841676""",0.010637566592198,7.217735006e-05,0.0,0.000127427693966,0.855153806495962,"""45.7571737251621""","""NA""","""NA""",1.37012198018834,0.0,0.000913646929206,"""NA""","""NA""","""0.001204972095383""","""0.001191252445202""",0.072527015447791,0.0,0.044657002543015
62,AM,"""Amazonas""","""Juruá""","""1302207""",2006,"""0.992529092372148""",0.005361391281037,0.000109664821658,0.0,7.3843600722e-05,0.863260152373177,"""47.5483234723482""","""NA""","""NA""",0.0,0.0,0.000321585535797,"""NA""","""NA""","""0.001294525853379""","""0.001286682310755""",0.140291441826258,0.0,0.180156917434228
63,AM,"""Amazonas""","""Santo Antônio do Içá""","""1303700""",2006,"""0.989032843056052""",0.008671026647661,0.000189427125017,0.0,0.000285605291177,0.866662246700416,"""37.1254143439268""","""NA""","""NA""",0.0,0.0,0.000685134434486,"""NA""","""NA""","""0.001548528897547""","""0.001534311663243""",0.055592225768057,0.0,0.096699871611226
64,AM,"""Amazonas""","""Fonte Boa""","""1301605""",2006,"""0.991706504238328""",0.005036875383611,0.000360472706371,0.0,0.000291115446084,0.819520084175248,"""47.3438456096432""","""NA""","""NA""",0.0,0.0,0.000133272408804,"""NA""","""NA""","""0.001665609137056""","""0.001654542112036""",0.080626424156209,0.0,0.091936952126643
65,AM,"""Amazonas""","""Anori""","""1300102""",2006,"""0.984355497991219""",0.008637140698923,0.000974038882042,0.0,0.000382282646909,0.690782411640759,"""59.664072029129""","""NA""","""NA""",0.078305424397511,0.0,0.00917252905282,"""NA""","""NA""","""0.001742234309268""","""0.001716881974833""",0.479443379457709,0.0,0.345086398419876
66,AM,"""Amazonas""","""Tonantins""","""1304237""",2006,"""0.987140539831602""",0.009543030391584,0.000602717708942,0.0,0.000225636581881,0.847147136177674,"""26.9692803074825""","""NA""","""NA""",0.0,0.0,0.000357181126549,"""NA""","""NA""","""0.001929844477239""","""0.00190888675008""",0.056053292352987,0.0,0.086378808285667
67,AM,"""Amazonas""","""Maraã""","""1302801""",2006,"""0.993147850019649""",0.004110528324827,1.767209082e-05,0.0,8.1457645023e-05,0.742708495327499,"""85.5022161315275""","""NA""","""NA""",0.0,0.0,0.001119294706151,"""NA""","""NA""","""0.002021866107533""","""0.002011609084074""",0.0,0.0,0.201891882635207
68,AM,"""Amazonas""","""Nhamundá""","""1303007""",2006,"""0.963840202812803""",0.026980460060776,0.003724546432536,0.0,5.8595240863e-05,0.830363839754497,"""41.2092224364566""","""NA""","""NA""",0.0,0.0,0.000351811830929,"""NA""","""NA""","""0.002537470525362""","""0.002453068307304""",0.035812517476592,0.0,0.400241768352621
69,AM,"""Amazonas""","""Tefé""","""1304203""",2006,"""0.973939515522""",0.021073373243886,0.000205569427314,0.0,0.000303285360677,0.902971230307953,"""30.9491008380498""","""NA""","""NA""",0.071506122510031,0.0,0.000450905241283,"""NA""","""NA""","""0.002743303306472""","""0.002679261485616""",0.031703158275376,0.0,0.017036121995164
